a=  1 | my_sqrt( 1 ) =  1.0  | math.sqrt( 1 ) =  1.0  | diff =  0.0
a=  2 | my_sqrt( 2 ) =  1.414213562373095  | math.sqrt( 2 ) =  1.4142135623730951  | diff =  2.220446049250313e-16
a=  3 | my_sqrt( 3 ) =  1.7320508075688772  | math.sqrt( 3 ) =  1.7320508075688772  | diff =  0.0
a=  4 | my_sqrt( 4 ) =  2.0  | math.sqrt( 4 ) =  2.0  | diff =  0.0
a=  5 | my_sqrt( 5 ) =  2.23606797749979  | math.sqrt( 5 ) =  2.23606797749979  | diff =  0.0
a=  6 | my_sqrt( 6 ) =  2.449489742783178  | math.sqrt( 6 ) =  2.449489742783178  | diff =  0.0
a=  7 | my_sqrt( 7 ) =  2.6457513110645907  | math.sqrt( 7 ) =  2.6457513110645907  | diff =  0.0
a=  8 | my_sqrt( 8 ) =  2.82842712474619  | math.sqrt( 8 ) =  2.8284271247461903  | diff =  4.440892098500626e-16
a=  9 | my_sqrt( 9 ) =  3.0  | math.sqrt( 9 ) =  3.0  | diff =  0.0
a=  10 | my_sqrt( 10 ) =  3.162277660168379  | math.sqrt( 10 ) =  3.1622776601683795  | diff =  4.440892098500626e-16
a=  11 | my_sqrt( 11 ) =  3.3166247903554  | math.sqrt( 11 ) =  3.3166247903554  | diff =  0.0
a=  12 | my_sqrt( 12 ) =  3.4641016151377544  | math.sqrt( 12 ) =  3.4641016151377544  | diff =  0.0
a=  13 | my_sqrt( 13 ) =  3.6055512754639896  | math.sqrt( 13 ) =  3.605551275463989  | diff =  4.440892098500626e-16
a=  14 | my_sqrt( 14 ) =  3.7416573867739413  | math.sqrt( 14 ) =  3.7416573867739413  | diff =  0.0
a=  15 | my_sqrt( 15 ) =  3.872983346207417  | math.sqrt( 15 ) =  3.872983346207417  | diff =  0.0
a=  16 | my_sqrt( 16 ) =  4.0  | math.sqrt( 16 ) =  4.0  | diff =  0.0
a=  17 | my_sqrt( 17 ) =  4.123105625617661  | math.sqrt( 17 ) =  4.123105625617661  | diff =  0.0
a=  18 | my_sqrt( 18 ) =  4.242640687119286  | math.sqrt( 18 ) =  4.242640687119285  | diff =  8.881784197001252e-16
a=  19 | my_sqrt( 19 ) =  4.358898943540673  | math.sqrt( 19 ) =  4.358898943540674  | diff =  8.881784197001252e-16
a=  20 | my_sqrt( 20 ) =  4.47213595499958  | math.sqrt( 20 ) =  4.47213595499958  | diff =  0.0
a=  21 | my_sqrt( 21 ) =  4.58257569495584  | math.sqrt( 21 ) =  4.58257569495584  | diff =  0.0
a=  22 | my_sqrt( 22 ) =  4.69041575982343  | math.sqrt( 22 ) =  4.69041575982343  | diff =  0.0
a=  23 | my_sqrt( 23 ) =  4.795831523312719  | math.sqrt( 23 ) =  4.795831523312719  | diff =  0.0
a=  24 | my_sqrt( 24 ) =  4.898979485566356  | math.sqrt( 24 ) =  4.898979485566356  | diff =  0.0
a=  25 | my_sqrt( 25 ) =  5.0  | math.sqrt( 25 ) =  5.0  | diff =  0.0
